addresstype,city,dt,summary,temp_min,temp_max,temp_day,feels_like_day,feels_like_night,feels_like_eve,feels_like_morn,humidity,clouds,pop,rain,uvi,wind_speed
city,Strasbourg,2024-06-26 13:00:00,"You can expect partly cloudy in the morning, with rain in the afternoon",17.55,24.76,24.76,25.04,18.56,20.41,18.41,67,91,1.0,11.01,8.0,3.14
city,Strasbourg,2024-06-27 13:00:00,"You can expect rain in the morning, with partly cloudy in the afternoon",14.46,17.35,17.35,17.31,14.36,15.33,16.51,83,100,1.0,6.48,8.0,3.5
city,Strasbourg,2024-06-28 13:00:00,Expect a day of partly cloudy with rain,12.65,17.82,17.82,17.35,12.86,15.01,13.81,65,100,0.61,1.59,8.0,2.64
city,Toulouse,2024-06-21 13:00:00,Expect a day of partly cloudy with rain,14.53,20.88,18.45,18.44,16.12,20.73,15.17,80,96,1.0,3.16,7.11,7.44
city,Toulouse,2024-06-22 13:00:00,Expect a day of partly cloudy with rain,12.54,21.04,19.2,18.95,15.51,17.25,12.54,68,85,0.73,0.84,4.28,6.18
city,Toulouse,2024-06-23 13:00:00,Expect a day of partly cloudy with rain,14.65,22.56,20.96,20.57,16.14,21.34,14.69,56,57,1.0,1.43,6.28,6.24
city,Toulouse,2024-06-24 13:00:00,There will be clear sky today,13.19,25.36,23.92,23.65,19.47,24.34,13.02,49,0,0.0,,9.14,2.9
city,Toulouse,2024-06-25 13:00:00,Expect a day of partly cloudy with clear spells,16.08,28.38,27.08,27.37,21.16,27.52,17.64,48,4,0.0,,8.95,5.6
city,Toulouse,2024-06-26 13:00:00,Expect a day of partly cloudy with rain,16.48,18.86,16.64,16.87,16.4,18.57,18.78,96,100,1.0,13.86,9.0,6.44
city,Toulouse,2024-06-27 13:00:00,Expect a day of partly cloudy with rain,11.82,18.07,15.92,15.68,13.25,16.64,13.38,81,100,1.0,5.7,9.0,5.83
city,Toulouse,2024-06-28 13:00:00,Expect a day of partly cloudy with rain,11.47,19.69,19.37,18.93,13.97,17.3,12.24,60,53,0.89,1.2,9.0,7.84
